Student_number,Ability,Difference_in_days,Gender,TotalpreA,TotalpostA,TotalretA,DiffprepostA,SoW
HS641,H,4030,F,6,11,na,5,2
HS642,H,3647,M,7,8,na,1,2
HS643,H,3639,M,8,11,na,3,2
HS644,H,4087,M,6,11,na,5,2
HS645,H,3891,M,9,14,na,5,2
HS646,H,3688,M,4,9,na,5,2
HS647,H,3477,M,3,8,na,5,2
HS648,H,4016,F,5,11,na,6,2
HS649,H,4057,F,7,10,na,3,2
HS6410,H,4065,F,8,9,na,1,2
HS6411,M,3523,M,6,11,na,5,2
HS6412,M,3971,M,9,11,na,2,2
HS6413,M,3538,M,4,11,na,7,2
HS6414,M,3571,M,5,11,na,6,2
HS6415,M,3801,F,4,8,na,4,2
HS6416,M,3746,F,4,7,na,3,2
HS6417,M,4005,F,4,10,na,6,2
HS6418,M,3569,F,5,9,na,4,2
HS6419,M,3641,F,6,10,na,4,2
HS6420,M,3689,F,8,8,na,0,2
HS6421,M,3893,F,6,10,na,4,2
HS6422,L,3427,M,4,9,na,5,2
HS6423,L,4013,M,4,11,na,7,2
HS6424,L,4126,M,5,4,na,-1,2
HS6425,L,4128,M,5,11,na,6,2
HS6426,L,3835,F,9,10,na,1,2
HS6427,L,3648,F,4,7,na,3,2
HS6428,L,3590,F,7,6,na,-1,2
HS6429,L,3575,F,5,8,na,3,2
HS6430,L,3792,F,4,10,na,6,2
HS6431,M,4020,F,4,11,na,7,2
HS6432,H,3661,M,9,na,na,na,2
HS6433,H,4014,M,5,na,na,na,2
NB17b1,H,4198,M,9,10,12,1,2
NB17b2,H,4197,F,6,9,10,3,2
NB17b3,H,4116,F,4,12,8,8,2
NB17b4,H,3972,M,6,10,10,4,2
NB17b5,H,4079,M,10,10,7,0,2
NB17b6,H,4164,M,6,13,10,7,2
NB17b7,H,4073,M,9,11,12,2,2
NB17b8,H,4143,M,5,9,10,4,2
NB17b9,H,4140,M,5,8,12,3,2
NB17b10,H,4032,M,4,10,10,6,2
NB17b11,M,4175,M,5,10,9,5,2
NB17b12,M,3930,M,8,6,13,-2,2
NB17b13,M,4045,M,10,9,12,-1,2
NB17b14,M,3923,M,3,6,13,3,2
NB17b15,M,4115,M,5,10,12,5,2
NB17b16,M,4147,F,7,12,8,5,2
NB17b17,M,4040,F,6,12,11,6,2
NB17b18,L,4009,F,8,10,12,2,2
NB17b19,L,3927,F,3,6,9,3,2
NB17b20,L,4121,F,8,10,6,2,2
NB17b21,L,4102,F,4,11,10,7,2
NB17b22,L,4135,F,5,10,8,5,2
NB17b23,L,4015,F,5,9,11,4,2
NB17b24,L,3969,M,3,6,10,3,2
NB17b25,L,3952,M,4,7,7,3,2
NB17b26,L,4186,M,8,6,12,-2,2
